days,amount
1,985.0
2,950.0325
3,964.2829875
4,936.80092235625
5,902.6076886902468
6,916.1468040206006
7,932.1793730909611
8,929.3828349716882
9,917.3008581170562
10,939.7747291409241
11,940.7145038700651
12,953.4141496723109
13,908.1269775628762
14,871.8018984603611
15,904.9303706018549
16,900.8581839341465
17,908.0650494056197
18,938.4852285607079
19,953.5009922176793
20,999.7457903402367
21,1049.2332069620784
22,1080.7102031709408
23,1096.3805011169195
24,1047.043378566658
25,1044.9492918095248
26,1092.494484586858
27,1093.586979071445
28,1041.6415975655514
29,1006.2257832483226
30,1025.8471860216648
31,1052.519212858228
32,1054.0979916775154
33,1090.9914213862285
34,1097.537369914546
35,1073.9403164613832
36,1052.4615101321556
37,1075.615663355063
38,1088.5230513153238
39,1095.0541896232157
40,1114.2176379416221
41,1140.9588612522211
42,1175.1876270897878
43,1233.3594146307323
44,1256.7932435087162
45,1274.3883489178381
46,1217.0408732165354
47,1169.5762791610905
48,1199.9852624192788
49,1198.7852771568596
50,1238.345191303036
51,1260.0162321508392
52,1240.4859805525011
53,1245.447924474711
54,1291.5294976802754
55,1247.617494759146
56,1198.3366037161597
57,1176.766544849269
58,1119.6933674240795
59,1124.7319875774879
60,1155.662117235869
61,1187.4428254598554
62,1201.6921393653736
63,1240.1462878250654
64,1255.0280432789662
65,1226.16239828355
66,1262.9472702320563
67,1258.5269547862442
68,1295.0242364750452
69,1295.0242364750452
70,1352.0053028799473
71,1395.9454752235456
72,1362.4427838181805
73,1333.1502639660896
74,1290.4894555191747
75,1283.3917635138193
76,1244.8900106084047
77,1264.185805772835
78,1308.4323089748843
79,1258.7118812338388
80,1283.8861188585156
81,1317.9091010082664
82,1321.203873760787
83,1340.3613299303183
84,1393.975783127531
85,1407.9155409588063
86,1407.9155409588063
87,1413.5472031226416
88,1412.133655919519
89,1345.057307263342
90,1349.7650078387637
91,1328.8436502172628
92,1363.3935851229116
93,1329.3087454948388
94,1299.399298721205
95,1240.2766306293902
96,1294.8488023770833
97,1256.6507627069593
98,1239.057652029062
99,1183.3000576877541
100,1137.7430054667757
101,1180.9772396745132
102,1158.5386721206974
103,1212.98998971037
104,1272.4264992061783
105,1309.9630809327605
106,1336.1623425514156
107,1344.1793166067241
108,1330.0654337823535
109,1387.9232801518858
110,1325.466732545051
111,1346.6742002657718
112,1286.073861253812
113,1331.7294833283224
114,1370.3496383448437
115,1435.4412461662237
116,1403.1438181274837
117,1384.9029484918265
118,1328.1219276036616
119,1275.661111463317
120,1328.6010475890446
121,1311.9935344941816
122,1347.4173599255246
123,1290.8258308086524
124,1325.0327153250817
125,1317.0825190331311
126,1326.9606379258796
127,1284.4978975122515
128,1325.6018302326436
129,1259.9845396361277
130,1304.7139907932103
131,1304.7139907932103
132,1331.460627604471
133,1340.1151216839
134,1320.6834524194835
135,1284.3646574779477
136,1236.2009828225248
137,1233.7285808568797
138,1228.793666533452
139,1181.4851103719143
140,1226.381544566047
141,1203.6934859915752
142,1148.323585635963
143,1191.9598818901295
144,1249.1739562208556
145,1189.838193300365
146,1214.2298762630226
147,1274.3342551380422
148,1211.891876636278
149,1210.679984759642
150,1223.3921245996182
151,1170.1745671795347
152,1225.172771836973
153,1284.5936512710662
154,1338.546584624451
155,1291.6974541625952
156,1238.0920098148476
157,1207.1397095694765
158,1210.7611286981848
159,1179.281339352032
160,1211.121935514537
161,1151.1713997065674
